"Settings","Asetukset"
"<strong>Note:</strong> Don't forget to set-up in the <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a> a Control URL to "http://www.yourdomain.com/ferbuy/payment/control/".",<strong>Huomio:</strong> Älä unohda asettaa <a href=https://my.ferbuy.com/merchant" target="_blank">myyjän hallintapaneelissa</a> kontrolliosoitteeksi "http://www.minundomain.com/ferbuy/payment/control/"."
"Test/Live Mode","Testaus/Live -tila"
"Switching between test and live mode. If you don't have an account <a href='http://www.ferbuy.com/' target='_blank'>Sign Up</a>.","Vaihdetaan testaus- ja livetilan välillä. Jos sinulla ei ole käyttäjätunnusta, voit <a href='http://www.ferbuy.com/' target='_blank'>rekisteröityä tästä</a>."
"Site ID","Sivuston ID-tunnus"
"Fill in you Site ID number. You can find your Site ID number at <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>.","Kopioi tähän sivustosi ID-tunnus. Voit löytää sivustosi ID-tunnuksen <a href=https://my.ferbuy.com/merchant" target="_blank">myyjän hallintapaneelista</a>."
"Secret","Salausavain"
"Fill in you secret key for the site. You can create your secret key code at <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>","Kopioi tähän sivustosi salausavain. Voit luoda salausavaimen <a href=https://my.ferbuy.com/merchant" target="_blank">myyjän hallintapaneelissa</a>."
"Create invoice after payment","Luo lasku maksun jälkeen"
"Automatically create invoices after payment.","Luo laskut automaattisesti maksun jälkeen."
"Mail invoice to customer","Lähetä lasku asiakkaalle"
"Automatically mail invoices to a customer.","Lähetä laskut automaattisesti asiakkaalle."
"Notify on failed invoice creation","Ilmoita, kun laskun luonti epäonnistuu"
"Notifications recipient","Ilmoitusten vastaanottaja"
"Transaction in progress status","Maksutapahtuma käynnissä -tila"
"Transaction complete status","Maksutapahtuma onnistui -tila"
"Transaction failed status","Maksutapahtuma epäonnistui -tila"
"Debug","Debug"
"Will log details for debugging purposes in /var/log/ferbuy.log file.","Kirjoittaa lokitiedoston debug-tarkoitusta varten polkuun /var/log/ferbuy.log"
"FerBuy (Buy Now, Pay Later)","FerBuy (Osta nyt, maksa myöhemmin)"
"Enabled","Päällä"
"Title","Otsikko"
"Minimum Order Total","Tilauksen minimisumma"
"Checkout option will not be available with an order that does not meet the minimum.","Kassatoiminto ei ole saatavilla, mikäli tilauksen minimisumma ei täyty."
"Maximum Order Total","Tilauksen maksimisumma"
"Checkout option will not be available with an order that does exceeds the maximum.","Kassatoiminto ei ole saatavilla, mikäli tilauksen maksimisumma ylittyy."
"Payment from applicable countries","Maksu saatavilla olevista maista"
"Payment from Specific countries","Maksu tietyistä maista"
"Sort order","Järjestys"
"Invoice # %s created and send to customer.","Lasku # %s luotu ja lähetetty asiakkaalle."
"Invoice # %s created.","Lasku # %s luotu."
"Automatic invoice creation failed","Automaattinen laskun luonti epäonnistui"
"Magento was unable to create an invoice for Order # %s after a successful payment via FerBuy (transaction # %s)","Magento ei kyennyt luomaan laskua tilaukselle # %s FerBuy:n kautta onnistuneesti suoritetun maksun jälkeen (maksutapahtuma # %s)"
"Magento was unable to create an invoice for <b>Order # %s</b> after a successful payment via FerBuy <b>(transaction # %s)</b>","Magento ei kyennyt luomaan laskua <b>tilaukselle # %s</b> FerBuy:n kautta onnistuneesti suoritetun maksun jälkeen <b>(maksutapahtuma # %s)</b>"
"Hacker attempt: Order total amount does not match FerBuy's gross total amount!","Hakkerointiyritys: Tilauksen yhteissumma on eri kuin FerBuy:n bruttosumma!"
"Transaction complete.","Maksutapahtuma suoritettu."
"Transaction failed.","Maksutapahtuma epäonnistui."
"Transaction timed out.","Maksutapahtuma aikakatkaistiin."
"Transaction canceled by user.","Maksutapahtuma peruttu käyttäjän toimesta."
"Transaction started, waiting for payment.","Maksutapahtuma aloitettu, odotetaan maksua."
"You will be redirected to FerBuy to finish your transaction.","Sinut uudelleenohjataan FerBuy:n sivustolle suorittamaan maksutapahtuma loppuun."
"You will be redirected to the FerBuy website when you place an order.","Sinut ohjataan FerBuy verkkosivuilla, kun tilauksen."